# ДЕКОР: ПЕРЕЗАМІР на ТЕПЕРІШНІЙ збірці (тіні геть, туман завісами, вода запечена й без
# освітлення, джиттер дороги, масштаб 0,87). Рівень 7, заморожені точки, контролі 0,3%.
точка	варіант	показник	різниця	кадр@1.0	виклики	примітиви
60	усе як є	184.2	0.0	52.1	119	128085
60	без декору зовсім	164.9	-19.3	47.6	93	22593
60	без забудови	185.9	+1.7	52.8	117	66267
60	без дрібниці	162.1	-22.1	47.2	95	84409
60	контроль	184.8	+0.6	52.1	119	128085
180	усе як є	186.9	0.0	52.8	184	151738
180	без декору зовсім	169.8	-14.4	49.2	158	47650
180	без забудови	186.3	+2.1	52.8	184	89920
180	без дрібниці	169.3	-14.9	49.1	158	109468
180	контроль	187.5	+3.3	52.8	184	151738
#
# ГОЛОВНЕ, І ЦЕ МІНЯЄ ПЛАН.
#
# 1. ДЕКОР КОШТУЄ 4,5 мс, А НЕ 30. Старе число знято ДО вимкнення тіней і заміни туману:
#    декор платив за них своїми пікселями, і разом із ними ця ціна пішла. Мілісекунди
#    справді НЕ були адитивними - саме як і застерігав замовник.
#
# 2. ЗАБУДОВА КОШТУЄ НУЛЬ. Прибрати її - 52,8 проти 52,8, тобто нічого, попри те що
#    примітивів стає вдвічі менше (128 тис. -> 66 тис.). Отже зливати 5-6 поверхонь
#    будинку в одну ЗАРАДИ КАДРУ сенсу немає: кадр цього не помітить.
#
# 3. УСЯ ЦІНА ДЕКОРУ - У ДРІБНИЦІ (кущі, квіти, гриби, каміння): -4,9 мс, тобто більше за
#    весь декор разом (у межах шуму). Саме дрібниця і є тим, що прибрало б відсікання за
#    висотою на екрані, і саме в неї вбудовані текстури 2048 (bush_flower_1/2).
