# ПІДЛОГА: скільки коштує сцена, з якої зняли все, що можна. Рівень 7, заморожені точки,
# теперішня збірка (тіні геть, туман завісами, вода запечена й без освітлення, джиттер
# дороги). Контролі 0,3% і 1,1%.
точка	варіант	показник	кадр@1.0	виклики	примітиви
60	A: усе як є	185.3	52.4	132	142766
60	B: без дрібниці декору	166.4	48.1	108	99092
60	C: дорога+герой+небо	148.0	43.4	90	24666
60	D: гола сцена (герой+небо)	111.7	31.0	75	18756
60	контроль	185.9	52.8	132	142766
180	A: усе як є	186.8	52.4	159	143446
180	B: без дрібниці декору	167.4	48.6	133	101176
180	C: дорога+герой+небо	147.8	43.3	94	25772
180	D: гола сцена (герой+небо)	111.7	31.0	77	19566
180	контроль	184.8	52.4	159	143446
#
# ПОВНИЙ АДИТИВНИЙ РОЗКЛАД КАДРУ при масштабі 1.0 (60 м):
#   гола сцена: герой, небо, інтерфейс, сам рушій      31.0 мс   59%
#   полотно дороги (основа + плитка)                   12.4      24%
#   дрібниця декору (кущі, квіти, гриби, каміння)       4.3       8%
#   решта (узбіччя, обриви, шви, краї, хмари,
#          вода, береги, перешкоди)                     4.7       9%
#   -------------------------------------------------------
#   разом                                              52.4
#
# ДВА ВИСНОВКИ.
#
# 1. ПІДЛОГА 31 мс ПРИ ПОВНІЙ РОЗДІЛЬНОСТІ. Ціль 33,3 мс (30 к/с). Тобто гола сцена ледве
#    в неї вкладається, а на весь вміст лишається 2 мс. При масштабі 0,87 підлога близько
#    26 мс (зі сходів D: 0.90 -> 26.7), тобто на вміст лишається ~7 мс.
#
# 2. НАЙБІЛЬША СТАТТЯ ВМІСТУ - НЕ ДЕКОР, А ПОЛОТНО ДОРОГИ: 12,4 мс проти 4,3 у дрібниці.
#    Це втричі більше. І саме його прибирає варіант «стрічка з вершинними кольорами» з
#    розбору чужих ігор, який я був відсунув як «косметику».
#
# Сходи голої сцени: [16.7, 16.7, 20.6, 26.7, 31.0] на 0.45/0.60/0.75/0.90/1.00.
# На 0.45 і 0.60 вона лягає рівно в ОДИН квант, тобто 60 к/с - але це вже порожній екран.
