# ПОВТОРНИЙ ПРОГІН УСІХ РІВНІВ — після заміни тіней, туману й води.
# Той самий метод: src/ui/sweep_probe.gd, 40 с на рівень, герой безсмертний.
рівень	світ	доріжок	медіана_мс	p95_мс	найгірший_мс	ривків	кс	було_мс	було_кс
1	meadow	3	70.1	83.3	84.6	0	14.3	98.6	10.1
2	meadow	3	69.7	73.3	127.2	0	14.4	100.4	10.0
3	meadow	3	69.7	74.7	143.6	0	14.3	101.4	9.9
4	meadow	3	72.1	75.2	104.5	0	13.9	103.0	9.7
5	forest	3	50.0	61.1	140.2	1	20.0	49.6	20.2
6	forest	5	53.4	61.1	145.9	1	18.7	52.5	19.0
7	forest	5	54.5	60.4	98.4	0	18.3	53.1	18.8
8	forest	5	55.5	60.5	77.4	0	18.0	54.2	18.5
9	beach	5	63.0	66.4	101.3	0	15.9	131.8	7.6
10	beach	5	60.6	63.9	97.6	0	16.5	135.2	7.4
11	beach	5	60.4	66.6	78.2	0	16.6	135.2	7.4
12	city	7	59.3	64.7	145.0	0	16.9	60.0	16.7
13	city	7	61.0	63.6	85.3	0	16.4	60.4	16.6
14	-	-	-	-	-	-	-	-	ПРОПУЩЕНО: стан «сон», двічі поспіль
15	clouds	5	51.7	58.3	107.8	0	19.4	51.8	19.3
16	clouds	5	51.3	56.8	104.2	0	19.5	51.4	19.5
17	clouds	7	53.4	59.6	141.4	1	18.7	54.2	18.5
#
# ГОЛОВНЕ. Аномалій більше немає: уся гра в смузі 51-72 мс, 14-20 к/с.
# Пляж 135 -> 61 мс (7,4 -> 16,5 к/с) - заміна шейдера води.
# Луг 100 -> 70 мс (10 -> 14,3 к/с) - та сама заміна, бо там канали з водою.
# Ліс, місто й хмаринки не змінились: у них води майже немає, і це підтверджує, що
# виграш дала саме вона, а не щось стороннє.
#
# РИВКІВ УСЕРЕДИНІ РІВНІВ практично немає (0-1). Усі 19 - на переходах між рівнями.
# Рівень 14 пропущено ВДРУГЕ: гра сама йде в стан «сон». Це вже не випадковість.
