# ОСВІТЛЕННЯ ДЕКОРУ НА ВЕРШИНУ. Рівень 7, дві заморожені точки, контролі 0,1% і 0,4%.
варіант	кадр_60м	кадр_180м	різниця_60	різниця_180	пікселів_змінилось
на піксель (як було)	48.6	48.1	0.0	0.0	-
НА ВЕРШИНУ	41.7	40.0	-6.9	-8.1	3.36%
без освітлення зовсім	35.7	33.3	-12.9	-14.8	36.24%
#
# Тобто на вершину дає ПОЛОВИНУ виграшу від повного вимкнення, коштуючи 3,36% пікселів
# замість 36,24%. Грані зберігаються, бо вершини наших пропсів РОЗЩЕПЛЕНІ по гранях
# (перевірено: 100% позицій мають кілька нормалей), тож усі три кути грані дістають
# однакове світло й вона лишається рівною.
#
# У СПРАВЖНІЙ ГРІ, рівень 7: 36.1 · 37.4 · 37.1 · 37.8 · 39.0 -> медіана 37.4 мс, 26-28 к/с.
# Було 42.8 мс, 23-24 к/с.
#
# СТАРИЙ ЗАПИС «на вершину гірше за на піксель на 47 одиниць» СПРОСТОВАНО. Він знятий до
# виправлень діагностики, зокрема до того, як знайшлось аліасування ключів матеріалів
# (24% похибки в контролі). Виправлено в docs/MEMORY.md, у звіті й у next-steps.
