# Розклад «полотен дороги». Проба на ЗАМОРОЖЕНІЙ точці 60 м, рівень 7, якість «Плавно»
# (тіні вже вимкнені). Показник — сума медіан по сходах масштабу 0.45/0.60/0.75/0.90/1.00,
# це ПОРІВНЯЛЬНЕ число, не мілісекунди. Кадр@1.0 — справжні мілісекунди.
серія	варіант	показник	різниця	кадр@1.0	виклики	примітиви
1	усе як є	261.9	0.0	73.8	163	127719
1	без країв (mm_edge)	256.8	-5.1	72.2	162	126663
1	без узбіч (mm_side)	259.4	-2.5	73.3	161	125607
1	без швів (mm_seam)	260.0	-1.9	73.6	162	124551
1	без хмар (mm_clouds)	261.7	-0.2	73.8	162	127431
1	без обривів (mm_cliff)	261.8	-0.1	73.8	160	124551
1	контроль	261.8	-0.1	74.1	163	127719
2	усе як є	263.1	0.0	74.2	164	127847
2	без основи (roadbase)	236.9	-26.2	65.2	162	127319
2	без плитки (roadtiles)	236.6	-26.5	65.6	163	124151
2	без основи й плитки	224.3	-38.8	61.7	161	123623
2	полотен нема зовсім	209.4	-53.7	57.1	153	113831
2	контроль	263.2	+0.1	74.2	164	127847
# Контролі: серія 1 — 0.04%, серія 2 — 0.04%. Обидва прогони придатні.
#
# ГОЛОВНЕ. Кожен із двох великих шарів окремо коштує ~26, а разом лише 38.8, не 52.7.
# Це арифметика накладання: прибираєш один — ті самі пікселі домальовує другий. Земля
# під героєм малюється ДВІЧІ, і друге малювання коштує 12.5 мс при повній роздільності.
#
# Шари першої серії (край, узбіччя, шов, хмари, обрив) разом дають 9.8 - дрібниця.
