# ПОЛОТНО ДОРОГИ: скільки дає прибрати основу під плиткою. Рівень 7, заморожені точки,
# теперішня збірка. Контролі 0,05% і 0,16%.
точка	варіант	показник	кадр@1.0	різниця
60	усе як є	184.2	51.9	0.0
60	без основи	168.1	47.0	-4.9
60	без основи + зазору поперек	168.4	47.0	-4.9
60	СТЕЛЯ: полотна нема зовсім	164.9	45.7	-6.2
60	контроль	184.3	52.1	+0.2
180	усе як є	187.9	52.9	0.0
180	без основи	172.3	47.6	-5.3
180	без основи + зазору поперек	172.7	47.6	-5.3
180	СТЕЛЯ: полотна нема зовсім	167.8	46.3	-6.6
180	контроль	188.2	53.0	+0.1
#
# ГОЛОВНЕ: прибрати саму лише ОСНОВУ дає 4,9-5,3 мс, тобто 80% усієї стелі полотна
# (6,2-6,6, і то разом із плиткою, без якої дороги немає). Отже суцільний меш замість
# плиток дав би решту 1,3 мс за три-п'ять днів роботи - не варте того.
#
# РОЗБІЖНІСТЬ ІЗ ДРАБИНОЮ ПІДЛОГИ, де полотно вийшло 12,4 мс. Обидва числа чесні, міряні
# по-різному: у драбині весь інший декор був схований і дорога малювалась повністю, а в
# справжній сцені частину її пікселів затуляють кущі й будинки. Для РІШЕНЬ треба брати 6,2.
#
# ВПРОВАДЖЕНО: Track._road_style = "grid" за замовчуванням. У справжній грі, рівень 7:
#   41.8 · 42.8 · 43.2 · 42.3 · 43.7  ->  медіана 42.8 мс, 23-24 к/с
#   було 45.1 мс, 22 к/с
