# ЛУГ (рівень 1) — розклад сцени. Redmi 8A, «Плавно», заморожена точка 60 м, розгортка масштабу.
# Показник — сума медіан по сходах [0.45 0.60 0.75 0.90 1.00], НЕ мілісекунди; поряд кадр @1.0.
# Для кожного прапорця вказано СТРУКТУРНИЙ лічильник, який мусить змінитись: якщо він не
# змінився там, де мав, замір міряв не те, що написано в назві (так уже сталось із відсіканням).
серія	варіант	показник	кадр@1.0	дельта_мс	виклики	примітиви	очікуваний_лічильник	збіглось
1	контроль (початок)	223.1	59.3	0	206	127520	—	—
1	без декору зовсім	—	46.3	-13.0	118	38887	виклики й примітиви ВНИЗ	так
1	без води й берегів	—	53.0	-6.3	192	127520	виклики вниз	так
1	без полотен дороги	—	54.8	-4.5	206	114032	примітиви вниз	так
1	без дрібниці	—	57.9	-1.4	180	127520	виклики вниз	так
2	контроль (початок)	223.1	58.3	0	207	127236	—	—
2	без забудови	—	47.6	-10.7	145	47662	виклики й примітиви ВНИЗ	так
2	без води (канали)	—	53.7	-4.6	205	126088	виклики трохи вниз	так
2	без берегів	—	56.9	-1.4	195	127092	виклики вниз	так
2	декор без освітлення	—	45.8	-12.5	207	127236	БЕЗ ЗМІН (правка матеріалу)	так
2	контроль (кінець)	223.1	58.3	0	207	127236	—	—
3	контроль (початок)	223.6	58.3	0	210	127702	—	—
3	стіни без освітлення	182.7	49.1	-9.2	210	127702	БЕЗ ЗМІН (правка матеріалу)	так
3	стіни без освітл. + тон 0,8	182.7	49.2	-9.1	210	127702	БЕЗ ЗМІН	так
3	стіни без освітл. + тон 0,7	183.8	49.3	-9.0	210	127702	БЕЗ ЗМІН	так
3	весь декор без освітлення	169.9	45.8	-12.5	210	127702	БЕЗ ЗМІН	так
3	контроль (кінець)	223.6	58.3	0	210	127702	—	—
4	контроль (початок)	228.4	59.7	0	205	127394	—	—
4	без відблиску	225.6	59.1	-0.6	205	127394	БЕЗ ЗМІН (правка матеріалу)	так
4	без навколишнього світла	193.4	51.4	-8.3	205	127394	БЕЗ ЗМІН	так
4	без відблиску й навколишнього	192.4	51.2	-8.5	205	127394	БЕЗ ЗМІН	так
4	стіни без освітлення	185.6	50.0	-9.7	205	127394	БЕЗ ЗМІН	так
4	контроль (кінець)	228.0	59.7	-0.4	205	127394	—	—
5	контроль (початок)	223.4	58.3	0	207	127371	—	—
5	навкол. світло випроміненням	190.5	50.6	-7.7	207	127371	БЕЗ ЗМІН	так
5	без навкол. світла	187.7	50.0	-8.3	207	127371	БЕЗ ЗМІН	так
