# ПЛЯЖ: розклад НАЖИВО, у русі (не в замороженій пробі). Redmi 8A, рівень 9, «Плавно».
# Числа з накладки; варіанти перемикались кнопкою в грі, тож усе в одному прогоні.
#
# ЧОМУ НЕ ПРОБОЮ. Заморожена проба дала на пляжі 43 мс, а гра в русі — 156. Заморозка тут
# нерепрезентативна (це вже записано в memory bank як загальна вада методу), тому весь
# розклад зроблено живими перемиканнями.
варіант	кадр_мс	кс	цп_мс	виклики	примітиви
як є	159.4	6	10.3	103	78080
без води	44.4	23	9.2	129	92395
без глибини (DEPTH_TEXTURE)	158.7	6	8.3	118	81111
без хвилі (вершинна)	155.3	6	10.2	99	82769
без глибини і хвилі	156.2	6	11.1	125	86387
вода простим матеріалом	47.1	21	9.5	129	86245
вода непідсвіченим матеріалом	36.6	27	11.0	105	79987
#
# ГОЛОВНЕ. Уся ціна пляжу — ШЕЙДЕР ВОДИ: 159 -> 44 мс, якщо води нема зовсім, і 159 -> 47,
# якщо лишити воду, але звичайним матеріалом. Тобто сама поверхня майже безкоштовна, дорога
# рівно математика в піксельному шейдері.
#
# І ЖОДНА ОКРЕМА ВЛАСТИВІСТЬ НЕ ВАЖИТЬ: вибірка DEPTH_TEXTURE - нуль, вершинна хвиля - нуль,
# обидві разом - нуль. Те саме, що вже бачили з туманом: дорогий не окремий прийом, а весь
# піксельний шлях. Отже крутити параметри марно, треба міняти сам шейдер.
#
# ЩО ЦЕ РОБИТЬ ЗІ СТАРИМ ВИСНОВКОМ. «Вода коштує 1,7 мс» знято в ЛІСІ, де вода - вузькі
# канали обабіч дороги, тобто кілька відсотків екрана. На пляжі та сама вода займає пів
# кадру. Висновок не був хибним - він був ПРО ІНШУ ПЛОЩУ. Ціна тут завжди за пікселі.
#
# ПІСЛЯ ЗАМІНИ: візерунок запечено в текстуру 512x512 (assets/art/water_layer.png),
# шейдер бере його однією вибіркою замість 75 викликів _circ на піксель.
# Заміряно наживо на тому самому пляжі, перемиканням кнопкою в одному прогоні:
варіант	кадр_мс	кс
дешева вода (запечений візерунок)	64.2	16
стара вода (повний шейдер)	156.9	6
води нема зовсім	43.4	23
# 156,9 -> 64,2 мс, 6 -> 16 к/с. Вигляд збережено: shots/2026-09-24-voda-desheva-proty-staroyi.png
# Лишилось 21 мс понад «води нема» — це вершинна хвиля, піна по fwidth, прибережна піна
# по глибині й освітлення diffuse_burley у прозорому проході. Наступний крок, якщо треба.
