# Туман: розклад ПО СКЛАДОВИХ. Проба на заморожених точках 60 і 180 м, рівень 7,
# якість «Плавно». Показник — сума медіан по сходах, ПОРІВНЯЛЬНЕ число.
точка	варіант	показник	різниця	кадр@1.0
60	усе як є	262.2	0.0	74.1
60	туману нема зовсім	208.5	-53.7	57.1
60	без повітряної перспективи	261.7	-0.5	74.1
60	без кривої глибини	262.2	0.0	74.1
60	контроль	262.1	-0.1	74.1
180	усе як є	227.4	0.0	64.6
180	туману нема зовсім	182.6	-44.8	50.2
180	без повітряної перспективи	226.1	-1.3	64.6
180	без кривої глибини	226.4	-1.0	64.6
180	контроль	226.1	-1.3	64.6
# Контролі: 60 м — 0.04%, 180 м — 0.6%. Обидва придатні.
#
# ГОЛОВНЕ. Туман коштує 17.0 мс на 60 м і 14.4 мс на 180 м при повній роздільності.
# ЖОДНА його властивість не важить: ні повітряна перспектива (0.4 -> 0), ні крива
# глибини (pow -> лінійно). Отже ціна — сам ШЛЯХ туману в піксельному шейдері кожного
# матеріалу, а не те, що він рахує. Налаштуванням це не знімається, тільки заміною.
#
# ВИГЛЯД без туману: 18.8% пікселів на лузі, 16.3% у лісі. Туман робить видиму роботу —
# ховає край світу й дає глибину. Знімки: shots/2026-09-23-tuman-je-nema.png
