# ПРОГІН УСІХ РІВНІВ, Redmi 8A, стан якості «Плавно» (тіні вимкнені, туман завісами).
# Автоматичний: src/ui/sweep_probe.gd, по 40 с на рівень після 4 с прогріву, герой
# безсмертний. Час кадру — з delta, тобто справжній годинник кадру.
рівень	світ	доріжок	медіана_мс	p95_мс	найгірший_мс	ривків	кс
1	meadow	3	98.6	106.2	109.9	0	10.1
2	meadow	3	100.4	105.6	120.8	0	10.0
3	meadow	3	101.4	106.2	137.3	0	9.9
4	meadow	3	103.0	107.9	116.1	0	9.7
5	forest	3	49.6	60.6	112.6	0	20.2
6	forest	5	52.5	57.9	95.6	0	19.0
7	forest	5	53.1	59.3	104.2	0	18.8
8	forest	5	54.2	60.9	101.5	0	18.5
9	beach	5	131.8	145.0	148.8	0	7.6
10	beach	5	135.2	142.4	148.1	0	7.4
11	beach	5	135.2	143.4	149.1	0	7.4
12	city	7	60.0	64.3	98.6	0	16.7
13	city	7	60.4	64.6	81.9	0	16.6
14	-	-	-	-	-	-	ПРОПУЩЕНО: гра пішла в стан «сон»
15	clouds	5	51.8	58.3	87.8	0	19.3
16	clouds	5	51.4	57.6	80.9	0	19.5
17	clouds	7	54.2	59.8	96.0	0	18.5
#
# ГОЛОВНЕ.
# 1. ПЛЯЖ — найгірше місце в грі: 135 мс, 7,4 к/с. Це гірше, ніж було на початку
#    розслідування в лісі. Підозра: повноекранна вода. Замір «вода коштує 1,7 мс» знято
#    в ЛІСІ, де вода — вузькі канали; на пляжі вона на весь екран, і це інша задача.
# 2. ЛУГ — 100 мс, 10 к/с. Другий за тяжкістю: канали, містки, щільне сільце.
# 3. ЛІС, МІСТО, ХМАРИНКИ — 50-60 мс, 16,6-20 к/с.
# 4. РИВКІВ УСЕРЕДИНІ РІВНЯ НЕМА ЖОДНОГО (стовпець «ривків» = 0 скрізь). Усі 18 ривків
#    за прогін припали на ПЕРЕХОДИ між рівнями: 150-350 мс, і 1225 мс на першому старті
#    (ресурсів +211 — читання з диска).
# 5. Рівень 14 проба пропустила: гра сама пішла в стан «сон». Без дотиків це, схоже,
#    штатна поведінка, але перевірити варто.
