# ДРАБИНА МАСШТАБУ РЕНДЕРА як ЗОНД: наскільки ми впираємось у пікселі.
# Проба на ЗАМОРОЖЕНИХ точках, рівень 7 «ліс», стан «Плавно» (тіні геть, туман завісами,
# вода запеченим візерунком без освітлення, джиттер дороги). Контролі 0,09% і 0,05%.
масштаб	кадр_60м_мс	кадр_180м_мс	різниця_від_1.00
1.00	52.4	52.8	0.0
0.90	45.5	45.8	-6.9
0.87	43.3	43.7	-9.1
0.80	38.9	40.0	-13.5
0.70	33.3	33.4	-19.1
#
# ВІДПОВІДЬ ЗОНДА: так, ми істотно впираємось у пікселі. 0.87 знімає 9,1 мс (17%), 0.70 -
# 19,1 мс (36%). Для порівняння, поріг, який ми собі поставили: «якщо 0.87 дасть близько
# 9-10 мс - сигнал сильний; якщо 2-3 - масштаб нічого не вирішує». Вийшло 9,1.
#
# І окремо: 0.70 дає РІВНО 33,3 мс, тобто два кванти по 16,67 - це 30 кадрів на секунду.
#
# ВИГЛЯД. Знімки з ТЕЛЕФОНА (720x1520, тобто те, що бачить дитина):
# shots/2026-09-24-masshtab-rendera.png. Герой, перешкоди, зірочки й лінії доріжок
# читаються однаково на 1.00, 0.87, 0.80 і 0.70. Наша графіка пласка, без дрібної
# текстурної деталі, тож зменшення майже не видно. Інтерфейс не страждає взагалі:
# scaling_3d_scale чіпає лише 3D-буфер, HUD малюється в повній роздільності.
# ЗАСТЕРЕЖЕННЯ: знімки зняті в РУСІ, тобто на різних ділянках траси. Це перевірка
# читабельності, а не порівняння піксель-у-піксель.
#
# ЧОМУ НЕ ЖИВОЮ КНОПКОЮ. Перша спроба міряти перемиканням у бігу дала безлад: 1.00 -> 40,9;
# 0.90 -> 52,9; 0.87 -> 55,6; 0.80 -> 49,8. Монотонності немає, бо кожен варіант міряв іншу
# ділянку траси. Для води цей метод працював - там різниця 100 мс і шум її не з'їдав.
